ACTN,Air Force One,B,,124,Air Force One,42
DRAMA,Any Given Sunday,B,Director's Cut,157,Any Given Sunday,37
ACTN,Arn: Knight Templar,B,,130,Arn - Knight Templar,31
SCIFI,Battle: Los Angeles,B,,116,Battle - Los Angeles,29
WAR,Battle of Britain,B,,131,Battle of Britain,34
WAR,Behind Enemy Lines,B,,101,Behind Enemy Lines,37
HIST,Black Death,B,,101,Black Death,33
ACTN,Blade,B,,120,Blade,24
ACTN,Broken Arrow,B,,104,Broken Arrow,18
HIST,Centurion,B,,93,Centurion,0
THRIL,Cliffhanger,B,,109,Cliffhanger,0
ACTN,Con Air,B,,115,Con Air,0
DRAMA,Contact,B,,149,Contact,0
DRAMA,Contagion,B,,106,Contagion,0
THRIL,Elysium,B,,109,Elysium,0
DRAMA,Ex_Machina,B,,108,Ex_Machina,0
ACTN,Flight,B,,138,Flight,0
HORR,From Dusk till Dawn,B,,108,From Dusk till Dawn,0
ACTN,Glory,B,,122,Glory,0
ACTN,Godzilla,B,,139,Godzilla,0
DRAMA,Gone Baby Gone,B,,114,Gone Baby Gone,0
DRAMA,Good Will Hunting,B,,126,Good Will Hunting,0
WAR,Hamburger Hill,B,,110,Hamburger Hill,0
WAR,Heatbreak Ridge,B,,130,Heatbreak Ridge,0
ACTN,Highlander,B,Immortal Edition,117,Highlander,0
COMDY,Horrible Bosses,B,Totally Inappropriate Edition,98,Horrible Bosses,0
HORR,I am Legend,B,,104,I am Legend,0
THRIL,In the Line of Fire,B,,128,In the Line of Fire,0
DRAMA,In the Valley of Elah,B,,121,In the Valley of Elah,0
HIST,Ironclad,B,,121,Ironclad,0
THRIL,Jack Ryan: Shadow Recruit,B,,106,Jack Ryan: Shadow Recruit,0
WAR,Katyn,B,,118,Katyn,0
WAR,Lebanon,B,,90,Lebanon,0
ACTN,Live Die Repeat,B,,113,Live Die Repeat,0
DRAMA,Malcolm X,B,,161,Malcolm X,0
COMDY,Mallrats,B,,95,Mallrats,0
COMDY,Mars Attacks,B,,106,Mars Attacks,0
DRAMA,Memento,B,,109,Memento,0
DRAMA,Milk,B,,128,Milk,0
COMDY,My Cousin Vinny,B,,119,My Cousin Vinny,0
DRAMA,Mystic River,B,,138,Mystic River,0
ACTN,Nikita,B,,117,Nikita,0
HIST,Noah,B,,138,Noah,0
SCIFI,Oblivion,B,,125,Oblivion,0
ACTN,Olympus Has Fallen,B,,119,Olympus Has Fallen,0
COMDY,Paul,B,,104,Paul,0
THRIL,Payback,B,,97,Payback,0
DRAMA,Perrier's Bounty,B,,88,Perrier's Bounty,0
DRAMA,Phonebooth,B,,77,Phonebooth,0
THRIL,Point Break,B,,122,Point Break,0
ACTN,Pompeii,B,,104,Pompeii,0
SCIFI,Predator,B,,107,Predator,0
ACTN,Red,B,,107,Red,0
ACTN,Red Heat,B,,105,Red Heat,0
HORR,Red State,B,,85,Red State,0
THRIL,Rise of the Planet of the Apes,B,,100,Rise of the Planet of the Apes,0
HIST,Rob Roy,B,,139,Rob Roy,0
ADVNT,Romancing the Stone,B,,105,Romancing the Stone,0
SCIFI,Serenity,B,,119,Serenity,0
THRIL,Shooter,B,,126,Shooter,0
WAR,Special Forces,B,,108,Special Forces,0
SCIFI,Stargate,B,,126,Stargate,0
COMDY,Step Brothers,B,Extended Edition,105,Step Brothers,0
ACTN,Tango and Cash,B,,104,Tango and Cash,0
DRAMA,Taxi Driver,B,35th Anniversary Edition,114,Taxi Driver,0
WAR,The Army of Crime,B,,139,The Army of Crime,0
ACTN,The A-Team,B,Explosive Extended Edition,128,The A-Team,0
DRAMA,The Aviator,B,,170,The Aviator,0
DRAMA,The Big Lebowski,B,,97,The Big Lebowski,0
DRAMA,The Book Thief,B,,125,The Book Thief,0
ACTN,The Bourne Legacy,B,,135,The Bourne Legacy,0
DRAMA,The Boy in the Striped Pyjamas,B,,94,The Boy in the Striped Pyjamas,0
THRIL,The Boys from Brazil,B,,118,The Boys from Brazil,0
DRAMA,The Damned United,B,,98,The Damned United,0
ACTN,The Day after Tomorrow,B,,118,The Day after Tomorrow,0
HIST,The Eagle,B,,114,The Eagle,0
ACTN,The Expendables,B,Uncut Version,103,The Expendables,0
DRAMA,The Grand Budapest hotel,B,,95,The Grand Budapest hotel,0
DRAMA,The Guard,B,,92,The Guard,0
THRIL,The Island,B,,136,The Island,0
ADVNT,The Jewel of the Nile,B,,101,The Jewel of the Nile,0
ACTN,The Last Boy Scout,B,,105,The Last Boy Scout,0
DRAMA,The Lincoln Lawyer,B,,118,The Lincoln Lawyer,0
WAR,The Monuments Men,B,,113,The Monuments Men,0
THRIL,The Negotiator,B,,139,The Negotiator,0
COMDY,The Other Guys,B,,107,The Other Guys,0
COMDY,The Proposal,B,,108,The Proposal,0
ACTN,The Quick and the Dead,B,,107,The Quick and the Dead,0
THRIL,The Siege,B,,116,The Siege,0
THRIL,The Sixth Sense,B,,107,The Sixth Sense,0
ACTN,The Towering Inferno,B,,165,The Towering Inferno,0
DRAMA,The Truman Show,B,,163,The Truman Show,0
SCIFI,The X-Files - Fight the Future,B,,122,The X-Files - Fight the Future,0
SCIFI,The X-Files - I Want to Believe,B,,103,The X-Files - I Want to Believe,0
WAR,Three Kings,B,,115,Three Kings,0
THRIL,Twelve Monkeys,B,,130,Twelve Monkeys,0
DISAS,Twister,B,,102,Twister,0
WAR,U-571,B,,109,U-571,0
THRIL,Wantage Point,B,,90,Wantage Point,0
ACTN,War of the Worlds,B,,116,War of the Worlds,0
ACTN,White House Down,B,,131,White House Down,0
WAR,Winter in Wartime,B,,103,Winter in Wartime,0
HORR,World War Z,B,,123,World War Z,0
